,Title,"Q:Which day, month and year did the crime happen?",Q:what time of the day did the crime happen?,"Q:Did the crime happen in the morning, afternoon,  evening or night?","Q:Did the crime happend on a weekday, weekend or holidays?",Q:What type of crime?,Q:What is the type of the crime?,Q:Is the crime violent or non-violent?,Q:Use 5 key words to describe this crime.,"Q:Map the crime to the crime type: theft, homicide, sex abuse, robbery, burglary",Q:In what location did the crime happend?,Q:Give me the accurate location of the crime.,Q:Did the crime happen in a public or private place?,Q:Did the crime happen in a residential or commercial area?,Q:Did the crime happen indoors or outdoors?
28,"Hospital, D.C. settle suit over water crisis",16 February 2023,FINAL B01,evening,weekday,criminal,criminal,non-violent,St. Elizabeths Hospital patients settled a lawsuit,robbery,St. Elizabeths Hospital,St. Elizabeths Hospital,St. Elizabeths Hospital,St. Elizabeths Hospital,indoors
29,Police rescue woman who says she was abducted,Friday morning,morning,morning,Friday morning,kidnapping,kidnapping,violent,police say she was kidnapped and,sex abuse,Southeast Washington,Southeast Washington,at a convenience store,commercial,outdoors
30,Teen is sentenced in shooting of Commanders running back,Aug. 28,just before 6 p.m,just before 6 p.m,Monday,attempted robbery,attempted robbery,violent,The 17-year-old charged in the attempted,robbery,H Street NE,H Street NE,a store,commercial,outdoor
31,"Amid a rise in D.C. crime, 2 girls hit by stray bullets",Sunday,Sunday night,night,Sunday,violent,violent,violent,A 10-year-old girl riding in a,homicide,Northeast Washington,Northeast Washington,private,residential,outdoor
32,Local Digest,Sunday,Sunday afternoon,afternoon,Sunday,violent,attempted carjacking,violent,A 44-year-old man from Maryland was,robbery,Anacostia neighborhood,Martin Luther King Jr. Avenue and U Street SE,public,Anacostia neighborhood,outdoor
33,Local Digest,5 April 2023,early,early,Sunday,homicide,homicide,violent,A 56-year-old man was fatally,homicide,Southeast Washington,the 600 block of 56th Place SE,private,residential,indoors
34,Man shot to death on Metro train pulling into Waterfront station,"Sunday morning, D.C.'s Water",Sunday morning,morning,Sunday morning,homicides,homicides,violent,A man shot another man to death aboard a,homicide,D.C.'s Waterfront station,D.C.'s Waterfront station,public,D.C.'s Waterfront station,aboard a Metro train
35,Indictment accuses 2 climate activists of damage at National Gallery of Art,April 27,Friday,evening,weekend,damaging property,conspiracy,nonviolent,Two climate activists were indicted by a,robbery,National Gallery of Art,National Gallery of Art,National Gallery of Art,National Gallery of Art,indoors
36,Prosecutors won't charge off-duty officer who fatally shot man at the Wharf,July 16,around 9 p.m,evening,July 16,fatally shot,fatally shot a man outside a restaurant,violent,Cmdr. Jason Bagshaw of the,homicide,the Wharf,the 800 block of Wharf Street SW,public,commercial,outside
37,A D.C. teen is killed on his way to work,Monday,about 4:30 p.m,afternoon,Monday,violent,homicide,violent,Antonio Cunningham was accosted by three,homicide,Northeast Washington's Brentwood neighborhood,Northeast Washington's Brentwood neighborhood,public,commercial,indoors
38,Infowars host sentenced to two months in jail for actions during Jan. 6 riot,"Jan. 6, 2021",Jan. 6,day,day,trespassing on restricted grounds,trespassing on restricted grounds,violent,Infowars host Owen Shroyer was sentence,trespassing on restricted grounds,the U.S. Capitol,the U.S. Capitol,public,Capitol,outdoors
39,Local Digest,Sunday,Sunday night,night,Sunday,robbery,robbery,violent,"robbery, carjacking, ",robbery,the 2700 block of Langston Place SE,2700 block of Langston Place SE,residential,residential,outdoor
40,"Oath Keepers attorney incompetent to stand trial, federal judge finds","Jan. 6, 2021",afternoon,afternoon,"Jan. 6, 2021",conspiracy,conspiracy,attack on the U.S. Capitol,A federal judge on Friday found Kellye SoR,seditious conspiracy,the U.S. Capitol,"Jan. 6, 2021, attack on the U",public,Capitol,attack on the U.S. Capitol
41,One victim identified in Capitol Hill shooting,Sunday,Sunday night,night,Sunday,Homicides,Homicide,violent,Shooting killed two men on Capitol Hill.,homicide,Capitol Hill,11th Street SE,public,residential,outdoors
42,Local Digest,10 October 2023,just before 5 a.m.,morning,Monday,homicide,homicide,homicide,Laurel police respond to a shooting just,homicide,parking lot of 14120 West Side Blvd.,14120 West Side Blvd.,parking lot,parking lot,in an alley
43,Metro violence worries deepen,"Sunday morning, the transit system saw its fourth ",Midday,Midday,Sunday,Robberies,homicide,violent,Homicides across the District were up 15,Homicide,on trains,Fort Washington,public,public,"on buses, trains, in parking lots and at"
44,Detective: Teen charged in fatal shooting took part in crime rampage,July13,early-morning,early-morning,early-morning,felony murder while armed,felony murder while armed,violent,The 14-year-old charged in the fatal,homicide,Howard University's campus,the 1100 block of W Street SE,campus,campus,outdoors
45,Local Digest,2 August 2023,about 1 a.m.,morning,Tuesday,homicides,homicides,violent,A 23-year-old man was fatally,homicide,Northwest Washington,Northwest Washington,commercial,commercial,outdoors
46,"Dying man named his shooter as 'Papi,' the man sleeping with his wife","Dec. 5,",just after 10 a.m.,morning,weekday,first-degree murder,first-degree murder,violent,Dana Bailey lay dying in his Southeast Washington apartment,homicide,D.C.,Southeast Washington,private,residential,indoors
47,It's all over now: We found the scamp who stole Brian Jones's dulcimer,"June 26, 1966",Monday,evening,Monday,theft,theft,non-violent,The dulcimer was taken from an equipment van,theft,Washington Coliseum,Washington Coliseum,Washington Coliseum,Washington Coliseum,outside
48,Details of Metro rampage revealed as suspect appears in court,Feb. 1,9:07 a.m.,morning,weekday,felony murder,felony murder,violent,"Isaiah Trotman, 31, is charged with",homicide,Potomac Avenue Metro station,Potomac Avenue Metro station,public,Metro station,indoors
49,D.C. settles suit over lack of special ed,2021,26 September 2023,night,weekday,incarcerated,incarcerated,non-violent,The District has settled a lawsuit that claimed the,robbery,D.C. jail,D.C.,jail,jail,incarcerated
50,Local Digest,Sunday,evening,evening,Sunday,Molotov cocktail attack at Cuban Embassy,Molotov cocktail attack at Cuban Embassy,violent,Molotov cocktail attack at Cuban Embassy,robbery,the Cuban Embassy,the 2600 block of 16th Street NW,at the Cuban Embassy,residential,indoors
51,"Georgetown to pay up to $550,000 in settlement",21 June 2023,off-the-clock,off-the-clock,weekday,overtime,overtime,non-violent,D.C. attorney general's office said,robbery,research laboratories,D.C.,Georgetown University,commercial,indoors
52,D.C. bill targets reckless drivers,March 15,on their way home from a night out,night,March 15,DUI,DUI,violent,A fiery crash earlier this year that involved ,DUI,Rock Creek Parkway,Rock Creek Parkway,public,D.C.,on-road
53,D.C. lawyer and mom seeks justice - not attention,11 July 2023,a week before a trial two decades in,night,weekday,human trafficking,human trafficking,"rape, murder and torture","Agnieszka Fryszman,",sex abuse,Aceh province on the northern tip of Suma,Aceh province on the northern tip of Suma,private,a camp,outside
54,Local DIGEST,Sunday,Sunday evening,evening,Sunday,Fairfax County police were searching Monday for a,Fairfax County police were searching Monday for a,violent,A man was killed and two people were injured in,robbery,15th Street and Massachusetts Avenue NW,15th Street and Massachusetts Avenue NW,building,residential,outdoor
55,Top EPA investigator to lead U.S. Park Police,17 April 2023,"a Park Police officer, working along with D",evening,weekday,criminal investigations,fatal shooting,violent,A former Secret Service agent and top Environmental Protection Agency,homicide,D.C.,D.C.,public,residential,outdoors
56,Local Digest,13 November 2023,3:45 a.m.,night,Friday,car theft,car theft,non-violent,Police car stolen from university grounds,theft,the 4200 block of Connecticut Avenue NW,4200 block of Connecticut Avenue NW,campus,campus,campus
57,Local Digest,Sunday,early,night,Sunday,assault with intent to kill,assault with intent to kill,violent,A woman was stabbed and critically wounded on,robbery,Navy Yard station,Navy Yard station,public,on a Green Line train,on a Green Line train
58,Professor at GMU resigns amid claims of misconduct,August 8,a.,evening,weekday,sexual misconduct,sexual harassment,non-violent,A former student accused a professor of sexual harassment,sex abuse,Fairfax County,Fairfax County,public,residential,in his FTC office
59,D.C. official serving from jail is moved,"November 25, 1994",morning,morning,Thursday morning,felonies,felonies,fatal shooting,Leonard Bishop was a voice for the more than,homicide,D.C. jail,D.C.,D.C. jail,residential,indoors
60,Virginia man sentenced to 27 years for 2005 rape of 12-year-old D.C. girl,"Nov. 28, 2005",8:30 on the morning,morning,morning,rape,rape,violent,A Virginia man was sentenced Friday to 27 years,sex abuse,D.C.,D.C.,alley,alley,alley
61,"After chase and crash, passersby assist with arrest in Old Town",Saturday,11 a.m.,morning,Saturday,possession of stolen property,possession of stolen property,non-violent,Two men from D.C. - Ri,burglary,Old Town,Franklin Street in Old Town,public,Old Town,outdoors
62,Suspected cocaine found at fatal gun battle with police in downtown D.C.,26 November 2023,2:30 p.m,afternoon,Wednesday,drug,possession with intent to distribute drugs,violent,A man who was fatally shot by a,homicide,downtown Washington,12th Street and Massachusetts Avenue NW,public,downtown,outdoors
63,Proud Boys owe church $1 million for damage,"Dec. 12, 2020",during a march,night,"Dec. 12, 2020",vandalism,vandalism,violence,The Proud Boys organization must pay more than,vandalism,D.C.,15th and M streets NW,private,D.C.,outdoor
64,"Authorities identify police officer who shot, injured man in Northwest",Aug. 17,about 10 a.m,morning,weekday,domestic violence,domestic violence,violent,D.C. officials have identified Randall Butler,homicide,7400 block of Georgia Avenue NW,7400 block of Georgia Avenue NW,private,residential,indoors
65,Local Digest,27 August 2023,early,early,Saturday,wire fraud,wire fraud,violent,One dead after vehicle crashes into apartment,homicide,Laurel,Laurel,private,residential,indoors
66,"In Congress Heights, a caravan for justice after marshals fatally shot a man",Feb. 28,Saturday,Saturday,Saturday,a parole violation,the killing of Alaunte Scott,violent,The caravan of cars wove its way slowly and,homicide,Congress Heights,Third Street SE,residential street,residential,outdoor
67,Six men on trial in girl's slaying,"July 16, 2018",evening,evening,"early evening of July 16, 2018",homicide,homicide,violent,The men's trial is nearing its end,homicide,Clay Terrace,Northeast Washington,courtyard,residential,courtyard
68,Two teens charged in day-long robbery spree that ended in a fatal shooting,"Sept. 11,",morning and evening,morning,day,armed-robbery spree,armed-robbery spree,violent,A high school student killed in September outside a,robbery,Brentwood,Northeast Washington's Brentwood neighborhood,public,residential,outside
69,Killings soar in a spate of violence,Friday,afternoon,afternoon,weekend,homicide,homicide,violent,Five people were killed in three separate shootings in,homicide,Greenway neighborhood,D Street SE,private,residential,inside
70,"Union Station's owner, and Amtrak's bid to change it",17 September 2023,Monday,morning,Monday,eminent domain,eminent domain,eminent domain,An eminent domain case has put ,Amtrak is seeking possession of the station',Union Station,Union Station,private,commercial,indoors
71,Police balked at returning Fanone's Jan. 6 badge,"Jan. 6, 2021","Jan. 6, 2021","Jan. 6, 2021","Jan. 6, 2021",riot,riot,"Jan. 6, 2021, riot at the",The man who ripped Badge No. 360,robbery,the U.S. Capitol,"Jan. 6, 2021, riot at the",public,residential,outdoor
72,Teen goes on trial for fatal 'Moechella' shooting,"June 19, 2022",evening,evening,day-long,murder,murder,violent,Moechella was billed as a day,homicide,Moechella,14th and U streets NW,public,neighborhood,outdoors
73,Case of missing mother gets trial,"October 9, 2010",10:39 p.m.,night,weekday,murder,second-degree murder,violent,"Unique Harris, a 24-year-old mother",homicide,D.C.,Garfield Heights neighborhood,private,residential,indoors
74,Serial rapist is sentenced to two life prison terms,"Oct. 6, 2007",while she was asleep,evening,weekday,rape,Serial rapist,violent,A District man was sentenced Friday to two life,sex abuse,Adams Morgan,Adams Morgan,private,residential,indoors
75,Council member files bias complaint,18 March 2023,Thursday,Thursday,Thursday,discrimination,employment discrimination,non-violent,D.C. Council member Vincent C. Gray,D.C. Council member Vincent C. Gray,D.C.,D.C.,public,D.C.,indoors
76,D.C. bus driver reaches plea deal,October,a few minutes into the 30-mile return trip,afternoon,October,misdemeanor,causing a child to be in need of,non-violent,A driver who authorities said was drunk when he,robbery,Fairfax's Centreville area,"Fairfax County, Va.",public,residential,outdoors
77,Secret Service officer acquitted of rape charge,"June 9, 2020",morning,night,"June 9, 2020",rape,rape,non-violent,A Secret Service officer who was honored for defending,sex abuse,a hotel room in Alexandria,Alexandria,hotel room,hotel,indoors
78,Teenager charged in campus shooting,Oct. 3,9:25 p.m.,evening,weekend,attempted murder,attempted murder,violent,Baltimore police have charged a 17-year-,homicide,Morgan State University,Thurgood Marshall Hall,campus,campus,outside
79,Local Digest,Monday,about 8:50 p.m.,evening,Monday,A man whom authorities said they suspect of imperson,Impersonating a law enforcement officer,violent,driver killed in crash in Upper Marlboro,robbery,"Northeast Washington, D.C.",Upper Marlboro,house,residential,in a house
80,Murder charge in death of youth,Jan. 7,around 4 a.m,morning,weekday,second-degree murder,second-degree murder while armed,violent,"Jason Michael Lewis, 41, surrenders to police",homicide,Northeast Washington,Northeast Washington,private,residential,outdoor
81,Man dies after being shot near high school,Monday,afternoon,afternoon,Monday,shooting,shooting,violent,A man who worked with D.C.',homicide,Coolidge High School,Coolidge High School,public,residential,outdoors
82,Officials face ire over D.C. crime,Thursday,in broad daylight,in broad daylight,Thursday,"homicides, robberies and",homicides,violent,"Residents, shopkeepers and an executive from Monument",robbery,Chinatown,Chinatown,public,commercial,open-air
83,Six dead in Saturday shootings in District,Saturday,early in the day,early in the day,Saturday,homicides,homicide,violent,Shootings happen in Northwest Washington neighborhoods typically known,homicide,Northwest Washington neighborhoods typically known for their vibrant nightlife,2500 block of Ontario Road NW,public,residential,outdoors
84,D.C. man acquitted in Pr. George's shooting,"Oct. 30, 2021",just before midnight,night,Halloween,first-degree murder,first-degree murder,violent,"The 6-foot-8, nearly 400-pound father",homicide,the Veterans of Foreign Wars post,Lanham,at the Veterans of Foreign Wars post,at a Halloween party,outside
85,Police launch initiative to reward tipsters who report illegal gun possessions,Friday,Friday,Friday,Friday,violent crime,violent crime,violent,D.C. police Friday unveiled a,D.C. police Friday unveiled a,D.C.,D.C.,private,residential,indoors
86,Students made a racist deepfake of a school principal. It left parents in fear.,"Feb. 13,",a.,morning,weekday,a racist deepfake of a,deepfake,non-violent,Students made a deepfake of ,sex abuse,"Putnam County, N.Y.",George Fischer Middle School,school,residential,indoors
87,Murder suspect who escaped custody at GWU Hospital last month is captured,Aug. 12,10:30 a.m,morning,Thursday,murder,murder,violent,A murder suspect who escaped from D.C,homicide,GWU Hospital,GWU Hospital,hospital,residential,outside
88,Suspect in judge's killing is found dead,Oct. 19,8 p.m.,evening,weekend,murder,killing,violent,A man who allegedly shot and killed a,homicide,Hagerstown,Washington County,private,residential,outdoors
89,Body-camera video in fatal shooting released,Oct. 19,shortly before 5 p.m,afternoon,weekday,fatal shooting,fatal shooting,violent,Body-camera video shows officer being shot by,homicide,D.C.,D.C.,private,apartment building,outside
90,"To de-escalate, don't pull the trigger",Saturday,early Saturday,night,Saturday,felony,felony,violent,A man who stepped out of his house with,homicide,D.C.,D.C.,private,residential,outdoors
91,"Once again, prosecutors seek to prove a seditious conspiracy","Jan. 6, 2021",12:53 p.m.,afternoon,Jan. 6,seditious conspiracy,seditious conspiracy,violent,"Proud Boys chairman Henry ""Enrique""",seditious conspiracy,D.C.,D.C.,U.S. Capitol,D.C.,outdoor
92,Calls for charges in boy's killing,Saturday,4 a.m.,morning,weekend,Violent crime,shooting,violent,The shooter of Karon Blake should be identified,homicide,Northeast Washington,Northeast Washington,private,residential,outdoors
93,Stolen D.C. Frenchie is reunited with owner,Saturday,afternoon,afternoon,Saturday,dognapping,dognapping,violent,A dog was robbed from its owner',robbery,D.C.,Northeast Washington,private,residential,outside
94,D.C. to add 140 traffic cameras by spring,"As the year comes to an end, D.",a 16-year high in traffic fatalities,morning,weekday,speeding,speeding violations,non-violent,The District has doubled its number of traffic cameras,The District has doubled its number of traffic cameras,D.C.,D.C.,public,residential,outdoors
95,Local Digest,Sunday,Sunday night,evening,Sunday,shoplifting,shoplifting,violent,officer fatally shoots woman in Strasburg,homicide,downtown Washington,Strasburg,private,commercial,outdoor
96,Judge halts removal of Arlington Cemetery's Confederate Memorial,19 December 2023,evening,morning,Monday,desecration,desecration,non-violent,A federal judge in Alexandria issued a temporary ,robbery,Arlington National Cemetery,Arlington National Cemetery,Arlington National Cemetery,Arlington National Cemetery,Arlington National Cemetery
97,Ex-officer gets 32 years in child sex abuse case,Monday,a.m.,night,over two years,child sex abuse,child sex abuse,violent,A former D.C. police officer was sentence,sex abuse,D.C.,D.C.,private,residential,indoors
98,10 charged in sweeping carjacking indictment,12 December 2023,Monday,night,Monday,Carjackings,Carjackings,violent,Authorities in D.C. announced a ,carjacking,D.C.,D.C.,private,residential,outdoors
99,Local Digest,Sunday,3:40 p.m.,afternoon,Sunday,murder,murder,violent,A man is believed to have fatally shot his,homicide,an apartment near Logan Circle NW,1300 block of Corcoran Street NW,private,residential,indoors
100,2 killed near Nationals Park lived close to scene,Thursday,morning,morning,Thursday,Violent crime,armed carjacking,violent,Two people fatally shot Thursday morning near Nationals,homicide,near Nationals Park,the 1300 block of Half Street SW,public,commercial,outdoors
101,Police arrest suspect in the killings of man and teen in March,March 7,7:45 p.m,evening,about 7:45 p.m. on,murder,fatal shootings,violent,"Kevin Foster, 19, charged with two counts of first",homicide,Woodland Terrace,Woodland Terrace,private,residential,indoors
102,ANC rep could take on new job,25 December 2023,a parking lot,evening,weekday,homicide,killing,killing,Joel Castón spent 27 years in prison for the,homicide,D.C. parking lot,D.C. parking lot,parking lot,parking lot,in a D.C. parking lot
103,D.C. transit agency sued for barring religious group's ads,16 December 2023,16 December 2023,morning,Tuesday,First Amendment,First Amendment,The ACLU said the agency's advertisement policy,ACLU says the agency's advertisement policy discrimin,The American Civil Liberties Union filed a lawsuit,Washington Metropolitan Area Transit Authority,Washington Metropolitan Area Transit Authority,public,commercial,on city buses
104,Man accused of grabbing women as he rode bike,June 2022 and went into this past November,various hours of the day and night,various hours of the day and night,various hours of the day and night,sexual abuse,sexual abuse,non-violent,"Daniel Adam Grob, 46, of Riverdale",sex abuse,downtown Washington,"K, L and 17th streets",public,downtown Washington,outdoors
105,D.C. steps back from policing reforms as crime continues to rise,31 December 2023,24 hours a day,night,weekday,homicides and carjackings,homicides,violent,As homicides and carjackings,homicide,D.C.,Naylor Road SE,public,residential,outdoor
106,Teen pleads guilty in fatal May shooting of 18-year-old at Wheaton Metro,"May 18, at about 5:50 p.",evening,evening,evening rush hour,first-degree murder,first-degree murder,violent,A 16-year-old from Maryland who shot,homicide,Wheaton Metro station,Wheaton Metro station,public,Wheaton Metro,on the Wheaton Metro platform
107,Local Digest,22 December 2023,sex abuse,night,weekday,sexually abusing,sexually abusing a 17-year-,non-violent,Psychiatric aide is charged with,sex abuse,Psychiatric Institute of Washington,Psychiatric Institute of Washington,private,residential,indoors
108,"Four shot, two fatally, in neighborhood near Nationals Park",Thursday,morning,morning,Thursday,homicide,homicide,violent,"Shootings, near the ballpark, occurred",homicide,near Nationals Park,Half and O streets SW,residential neighborhood,residential neighborhood,outside
109,Local Digest,October,just before midnight,night,weekday,attempted robbery,attempted robbery,violent,"Charles Washington Jr., 31, and Antonio Jackson,",homicide,Prince George's County,Prince George's County,in the 800 block of Irvington Street,residential,outdoors
110,Youth gets detention in Juneteenth 2022 killing,"June 19, 2022",Juneteenth,day,day-long,murder,second-degree murder,violent,A 16-year-old found guilty in ,homicide,Moechella,14th and U streets NW,public,outdoor,outdoor
111,Arrest made in robberies along trail,Oct. 16 and Nov. 19,afternoon,afternoon,Tuesday,Robberies,Robberies,violent,D.C. police have arrested an 18-,robbery,the Metropolitan Branch Trail,Northeast Washington,public,residential,outdoors
112,Arlington doctor convicted of sprawling conspiracy to deal pills,13 December 2023,FINAL B01,morning,weekday,drug distribution conspiracy,drug distribution conspiracy,non-violent,Kirsten Van Steenberg Ball testified at her,sex abuse,U.S. District Court in Alexandria,Arlington County,private,residential,indoors
113,Property firm settles renter aid lawsuit,13 December 2023,13 December 2023,afternoon,Tuesday,discrimination,discrimination,non-violent,A management firm that administers leases and tenant,robbery,the District of Columbia,Adams View Apartments,private,residential,indoors
114,Footage of police shooting is released,Dec. 18,8:30 p.m,evening,weekday,armed robberies,assaulting a police officer,violent,Corey Darnell Branch was arrested and charged with,robbery,Chinatown area of Washington,Chinatown area of Washington,public,Chinatown,outdoors
115,Police accuse 85-year-old of killing his wife in an argument over pancakes,Sunday,Sunday morning,morning,weekend,murder,second-degree murder,violent,"Steven Schwartz, who lived with his wife,",homicide,D.C. home,Corcoran Street NW,private,residential,indoors
116,Menorah toppled at Maryland synagogue,Friday,around 3:30 p.m.,afternoon,Friday,vandalism,vandalism,non-violent,Menorah toppled at Maryland syn,vandalism,Olney Village Center,Olney Village Center,public,commercial,outside
117,Mother acquitted of assault in court,December 2022,December 2022,night,December 2022,assault,assault,violent,Karen Hylton-Brown was accused of,homicide,D.C.,D.C.,courtroom,D.C.,indoors
118,Mother of homicide victim says city is 'at war' amid growing death toll,Wednesday,before 4 p.m,evening,Wednesday,homicide,homicide,violent,"A mother looked at her two remaining sons,",homicide,Northeast D.C.,Northeast D.C.,private,residential,indoors
119,Local Digest,23 December 2023,7:30 a.m.,morning,Friday,murder,first-degree murder,violent,"A student found with a loaded gun, police",homicide,Upper Marlboro,Upper Marlboro,public,residential,inside
120,Biden pardons pot use and possession offenses in D.C.,Friday,Friday,Friday,Friday,marijuana,marijuana possession,nonviolent,President Biden announced Friday that he will par,D.C. residents may be able to,D.C.,D.C.,public,D.C.,outdoor
